codice;estinzione
Farm0006;06/01/2022
Farm0009;03/12/2021
Farm0016;14/12/2021
Farm0018;19/12/2021
Farm0019;14/12/2021
Farm0021;23/12/2021
Farm0025;08/12/2021
Farm0028;09/12/2021
Farm0036;20/11/2021
Farm0040;26/12/2021
Farm0041;25/12/2021
Farm0043;08/12/2021
Farm0063;06/11/2021
Farm0064;19/11/2021
Farm0083;11/11/2021
Farm0084;24/11/2021
Farm0085;13/11/2021
Farm0110;07/12/2021
Farm0138;29/11/2021
Farm0142;07/12/2021
Farm0144;05/12/2021
Farm0146;17/12/2021
Farm0148;22/11/2021
Farm0149;23/11/2021
Farm0152;19/12/2021
Farm0153;12/12/2021
Farm0165;22/11/2021
Farm0184;17/12/2021
Farm0215;06/12/2021
Farm0216;17/12/2021
Farm0226;01/12/2021
Farm0227;17/11/2021
Farm0242;04/12/2021
Farm0246;30/11/2021
Farm0249;26/12/2021
Farm0259;09/12/2021
Farm0266;17/11/2021
Farm0269;21/11/2021
Farm0270;02/12/2021
Farm0278;09/12/2021
Farm0280;25/12/2021
Farm0281;19/12/2021
Farm0282;14/12/2021
Farm0284;17/12/2021
Farm0288;09/12/2021
Farm0296;18/12/2021
Farm0300;28/12/2021
Farm0302;26/12/2021
Farm0317;12/12/2021
Farm0329;23/12/2021
Farm0334;27/12/2021
Farm0336;20/11/2021
Farm0343;31/12/2021
Farm0346;02/01/2022
Farm0351;25/12/2021
Farm0353;08/01/2022
Farm0377;20/12/2021
Farm0403;27/12/2021
Farm0405;19/12/2021
Farm0408;15/12/2021
Farm0422;09/12/2021
Farm0423;18/11/2021
Farm0424;03/12/2021
Farm0425;03/12/2021
Farm0428;25/11/2021
Farm0434;28/11/2021
Farm0437;27/11/2021
Farm0442;26/11/2021
Farm0476;09/12/2021
Farm0485;12/11/2021
Farm0486;24/12/2021
Farm0489;07/12/2021
Farm0491;08/12/2021
Farm0492;06/12/2021
Farm0493;07/11/2021
Farm0498;16/12/2021
Farm0499;16/12/2021
Farm0500;02/12/2021
Farm0504;18/12/2021
Farm0505;18/12/2021
Farm0509;15/12/2021
Farm0511;17/12/2021
Farm0513;14/12/2021
Farm0515;16/12/2021
Farm0516;19/12/2021
Farm0518;03/12/2021
Farm0524;04/12/2021
Farm0525;11/12/2021
Farm0526;07/12/2021
Farm0527;09/12/2021
Farm0530;07/01/2022
Farm0539;17/11/2021
Farm0551;22/12/2021
Farm0554;30/11/2021
Farm0560;24/11/2021
Farm0601;05/12/2021
Farm0602;03/12/2021
Farm0603;03/12/2021
Farm0604;06/12/2021
Farm0607;21/12/2021
Farm0610;20/11/2021
Farm0615;01/01/2022
Farm0640;17/12/2021
Farm0641;25/11/2021
Farm0645;05/12/2021
Farm0646;21/11/2021
Farm0647;10/11/2021
Farm0653;27/11/2021
Farm0658;24/12/2021
Farm0667;20/12/2021
Farm0668;09/12/2021
Farm0672;28/11/2021
Farm0699;26/12/2021
Farm0716;08/01/2022
Farm0717;14/12/2021
Farm0719;23/12/2021
Farm0720;26/12/2021
Farm0722;16/12/2021
Farm0728;17/11/2021
Farm0731;10/11/2021
Farm0733;02/11/2021
Farm0738;19/12/2021
Farm0739;21/12/2021
Farm0741;13/12/2021
Farm0743;07/01/2022
Farm0744;17/12/2021
Farm0748;29/11/2021
Farm0749;31/12/2021
Farm0759;26/11/2021
Farm0763;30/11/2021
Farm0764;23/12/2021
Farm0768;22/12/2021
Farm0782;20/12/2021
Farm0790;15/11/2021
Farm0800;11/12/2021
Farm0801;01/12/2021
Farm0802;04/12/2021
Farm0803;04/12/2021
Farm0804;23/11/2021
Farm0806;09/12/2021
Farm0809;28/11/2021
Farm0810;26/11/2021
Farm0815;12/12/2021
