,Farm0001,Farm0002,Farm0003,Farm0004,Farm0005,Farm0006,Farm0007,Farm0008,Farm0009,Farm0010,Farm0011,Farm0012,Farm0013,Farm0014,Farm0015,Farm0016,Farm0017,Farm0018,Farm0019,Farm0020,Farm0021,Farm0022,Farm0023,Farm0024,Farm0025,Farm0026,Farm0027,Farm0028,Farm0029,Farm0030,Farm0031,Farm0032,Farm0033,Farm0034,Farm0035,Farm0036,Farm0037,Farm0038,Farm0039,Farm0040,Farm0041,Farm0042,Farm0043,Farm0044,Farm0045,Farm0046,Farm0047,Farm0048,Farm0049,Farm0050,Farm0051,Farm0052,Farm0053,Farm0054,Farm0055,Farm0056,Farm0057,Farm0058,Farm0059,Farm0060,Farm0061,Farm0062,Farm0063,Farm0064,Farm0065,Farm0066,Farm0067,Farm0068,Farm0069,Farm0070,Farm0071,Farm0072,Farm0073,Farm0074,Farm0075,Farm0076,Farm0077,Farm0078,Farm0079,Farm0080,Farm0081,Farm0082,Farm0083,Farm0084,Farm0085,Farm0086,Farm0087,Farm0088,Farm0089,Farm0090,Farm0091,Farm0092,Farm0093,Farm0094,Farm0095,Farm0096,Farm0097,Farm0098,Farm0099,Farm0100,Farm0101,Farm0102,Farm0103,Farm0104,Farm0105,Farm0106,Farm0107,Farm0108,Farm0109,Farm0110,Farm0111,Farm0112,Farm0113,Farm0114,Farm0115,Farm0116,Farm0117,Farm0118,Farm0119,Farm0120,Farm0121,Farm0122,Farm0123,Farm0124,Farm0125,Farm0126,Farm0127,Farm0128,Farm0129,Farm0130,Farm0131,Farm0132,Farm0133,Farm0134,Farm0135,Farm0136,Farm0137,Farm0138,Farm0139,Farm0140,Farm0141,Farm0142,Farm0143,Farm0144,Farm0145,Farm0146,Farm0147,Farm0148,Farm0149,Farm0150,Farm0151,Farm0152,Farm0153,Farm0154,Farm0155,Farm0156,Farm0157,Farm0158,Farm0159,Farm0160,Farm0161,Farm0162,Farm0163,Farm0164,Farm0165,Farm0166,Farm0167,Farm0168,Farm0169,Farm0170,Farm0171,Farm0172,Farm0173,Farm0174,Farm0175,Farm0176,Farm0177,Farm0178,Farm0179,Farm0180,Farm0181,Farm0182,Farm0183,Farm0184,Farm0185,Farm0186,Farm0187,Farm0188,Farm0189,Farm0190,Farm0191,Farm0192,Farm0193,Farm0194,Farm0195,Farm0196,Farm0197,Farm0198,Farm0199,Farm0200,Farm0201,Farm0202,Farm0203,Farm0204,Farm0205,Farm0206,Farm0207,Farm0208,Farm0209,Farm0210,Farm0211,Farm0212,Farm0213,Farm0214
Farm0001,,0,6,4,5,10,6,10,6,6,2,4,10,8,6,10,9,12,6,4,6,6,8,4,12,5,2,14,12,16,13,6,11,12,14,14,15,6,13,12,7,10,5,5,6,8,13,2,4,12,14,5,4,4,18,12,14,10,7,14,6,16,9,16,14,14,11,12,6,14,15,8,12,12,6,14,14,14,14,6,13,7,13,14,15,17,9,16,5,4,10,10,12,13,10,16,10,13,19,12,10,16,13,16,5,14,10,18,12,10,13,10,13,16,18,17,16,19,14,16,16,10,18,16,20,15,16,16,8,14,10,16,11,10,10,16,16,16,21,16,15,12,12,17,14,11,16,15,18,12,15,10,22,22,140,18,14,17,22,18,12,15,13,12,20,12,17,17,17,11,16,14,18,16,14,12,15,16,16,16,12,21,18,11,20,11,16,22,18,16,14,18,14,16,16,18,13,16,18,20,17,22,28,22,29,18,9,12,25,24,18,22,22,28
Farm0002,0,,6,4,6,9,6,8,6,5,2,3,12,8,6,11,8,12,6,6,4,5,7,4,12,5,2,14,12,15,14,6,12,12,14,14,15,7,14,12,6,10,6,6,6,7,14,3,4,12,14,4,4,4,17,12,14,8,8,14,8,16,8,15,14,14,11,12,6,14,14,8,13,12,6,13,13,13,14,5,12,7,13,14,16,16,10,15,6,4,8,10,12,14,12,16,11,14,20,14,10,16,14,16,6,14,12,19,12,10,14,10,12,16,17,16,16,20,12,14,17,8,17,14,20,15,14,16,10,14,10,16,10,11,10,18,16,18,20,15,16,12,13,18,14,11,15,16,18,11,14,10,22,22,140,18,14,17,22,20,12,16,12,12,20,12,17,16,16,11,15,14,18,17,14,12,14,16,18,18,12,21,19,10,20,10,16,23,20,16,12,18,14,16,16,18,12,16,18,21,17,22,28,24,30,18,10,12,26,24,17,22,22,28
Farm0003,6,6,,7,11,16,12,15,4,12,6,10,18,13,10,18,14,18,12,11,13,12,14,8,19,10,10,20,18,22,17,12,18,18,18,18,21,12,20,18,12,14,12,11,12,13,20,9,10,18,20,11,10,10,23,18,20,15,11,20,12,22,16,22,20,17,16,19,12,20,20,14,20,16,12,19,18,19,20,12,19,14,19,20,22,23,14,22,12,10,16,16,16,18,11,22,18,18,26,20,16,22,20,22,12,20,16,25,18,17,18,16,19,22,24,22,22,26,19,18,22,16,24,22,25,22,22,21,14,20,16,22,16,14,18,22,20,22,26,20,20,19,19,23,20,16,21,20,23,19,21,16,28,28,147,22,18,24,26,26,18,22,16,19,26,17,22,22,22,18,22,20,24,23,20,17,18,22,24,23,16,27,24,17,26,16,20,28,26,22,18,24,19,22,24,24,18,22,24,27,21,28,34,30,36,24,16,18,32,30,24,28,26,34
Farm0004,4,4,7,,10,12,9,12,8,10,4,6,14,10,6,14,12,16,8,7,8,8,11,1,14,2,6,16,15,19,14,8,16,15,18,16,18,10,18,15,10,10,8,8,10,10,16,6,8,15,18,6,6,6,19,14,16,12,9,16,9,19,12,19,16,15,14,16,9,18,18,11,16,12,8,16,16,16,18,10,15,10,16,18,20,20,10,19,8,7,12,12,11,16,12,19,14,12,23,16,12,17,16,20,8,16,14,20,14,14,16,14,16,20,20,20,20,22,16,14,20,14,21,18,22,18,18,20,13,18,13,21,14,12,13,20,16,18,23,18,20,17,16,20,18,14,17,17,20,15,18,12,25,25,144,20,17,18,24,22,15,18,16,16,22,14,20,19,19,14,20,18,21,20,16,15,16,18,20,20,13,23,21,12,23,12,16,25,22,19,14,20,15,18,20,22,17,20,22,24,18,25,30,26,34,22,12,16,29,27,22,25,24,30
Farm0005,5,6,11,10,,15,13,12,12,2,7,10,18,3,12,17,16,19,0,10,12,2,14,10,18,12,8,19,18,22,18,12,17,18,18,20,21,2,20,18,11,16,12,10,2,13,18,8,10,19,20,9,10,9,23,18,20,16,14,20,14,22,16,20,20,18,17,18,12,21,21,14,18,18,12,19,19,19,20,12,8,13,20,20,22,24,15,23,11,10,16,4,18,18,16,21,16,18,24,18,16,22,19,22,12,20,17,24,18,16,19,16,20,24,24,23,22,26,18,21,22,16,24,20,15,20,21,22,16,20,16,23,17,17,18,24,22,22,27,20,12,19,8,14,22,16,22,22,24,18,22,16,28,28,146,24,20,21,26,26,18,22,18,9,26,18,23,22,20,18,22,21,24,24,21,8,22,22,22,12,18,27,26,17,16,17,23,30,25,22,18,14,18,22,22,24,18,24,24,28,22,18,32,30,37,24,16,18,32,30,24,18,18,34
Farm0006,10,9,16,12,15,,17,20,16,16,12,14,1,17,16,1,18,2,16,15,16,16,18,14,0,16,12,4,3,7,3,16,2,1,4,5,4,15,5,2,16,20,14,14,16,17,4,11,12,2,4,14,13,12,8,2,4,18,18,2,16,6,20,7,4,24,1,2,14,4,6,14,22,22,16,4,3,3,4,17,24,18,2,4,6,7,19,6,12,14,18,20,22,2,20,5,20,23,10,3,19,4,3,6,13,4,18,28,20,20,23,20,2,6,7,7,6,8,4,25,6,20,8,6,30,6,5,6,20,24,20,26,19,22,18,6,24,6,10,5,26,22,24,26,24,19,4,4,8,23,22,20,12,12,130,8,26,6,11,10,22,24,20,23,10,22,6,6,6,22,6,6,8,8,22,22,25,6,8,26,20,12,8,20,28,20,26,13,9,8,22,28,23,26,8,8,22,8,8,12,28,33,16,13,20,10,20,22,16,14,8,30,30,19
Farm0007,6,6,12,9,13,17,,15,12,10,8,11,16,12,12,16,14,18,12,12,10,10,14,11,17,10,9,20,18,22,18,12,18,18,19,20,20,12,20,18,12,16,12,9,12,13,18,8,10,18,19,11,10,10,24,18,20,15,14,18,12,22,16,22,21,18,17,18,12,20,22,14,19,18,12,18,20,19,18,12,19,12,19,20,22,24,14,22,11,10,15,16,18,20,16,22,17,18,25,19,16,20,19,21,10,20,16,24,18,16,20,16,19,23,22,22,22,24,19,21,22,16,24,22,26,20,22,24,14,20,16,22,18,17,18,24,21,22,26,22,22,18,20,24,22,17,20,20,24,17,20,16,28,28,146,24,20,22,26,26,18,21,18,20,24,18,24,22,22,16,22,20,25,22,20,18,22,22,23,23,18,28,24,16,26,14,22,28,25,21,18,24,21,20,24,25,18,23,24,28,24,28,34,28,36,24,16,18,32,30,25,27,26,33
Farm0008,10,8,15,12,12,20,15,,14,12,12,12,20,12,15,20,17,22,10,15,14,10,17,12,22,14,12,24,21,25,20,15,21,21,22,22,26,10,24,20,12,20,16,14,12,16,22,12,13,20,22,13,13,12,26,21,22,18,16,24,17,26,18,25,22,22,20,21,14,22,25,17,22,22,14,22,22,22,23,14,17,13,22,23,26,25,18,24,14,13,18,14,21,22,20,24,20,22,28,22,20,24,22,25,14,22,20,27,21,18,22,17,22,26,26,26,24,28,24,24,26,17,27,24,24,25,26,26,17,24,18,26,20,20,20,26,24,26,28,24,20,21,18,22,22,21,24,24,28,22,24,18,31,31,150,26,22,24,30,29,21,24,22,18,28,22,27,24,25,20,25,24,28,26,23,17,23,24,26,22,19,30,28,19,24,19,25,32,28,26,21,24,22,24,26,26,21,26,26,31,26,28,35,32,40,26,19,22,35,32,28,28,26,36
Farm0009,6,6,4,8,12,16,12,14,,11,6,11,17,14,10,18,14,20,12,10,12,11,14,9,17,9,8,20,18,23,18,12,18,18,18,20,22,12,20,18,11,14,12,12,12,14,18,8,10,18,20,10,9,10,22,18,20,16,11,19,12,22,16,22,20,18,16,18,12,20,20,13,20,17,14,18,18,20,20,12,20,13,18,20,22,22,13,22,12,10,16,16,16,18,12,20,18,17,24,18,16,22,18,22,12,20,18,24,18,16,20,16,18,24,24,24,22,26,20,19,22,16,24,22,26,20,23,22,14,20,16,22,16,14,16,23,20,23,25,20,21,20,19,22,21,18,20,20,24,18,22,16,28,28,146,22,19,22,28,26,18,20,18,18,26,18,23,21,22,17,22,21,23,24,20,18,18,22,23,22,16,26,26,16,26,16,20,28,25,22,18,24,20,22,23,24,20,23,23,27,21,26,33,28,36,24,16,18,32,30,24,28,26,34
Farm0010,6,5,12,10,2,16,10,12,11,,8,10,16,2,12,18,14,18,2,10,12,2,14,10,18,11,8,19,18,22,18,11,18,18,19,19,20,2,20,17,12,15,12,11,3,13,19,9,9,18,19,10,10,11,23,18,20,15,14,19,14,22,14,22,21,19,18,18,12,20,21,14,18,18,12,18,19,20,20,13,9,13,20,20,21,24,16,22,12,10,14,6,18,19,17,20,17,20,25,19,16,20,19,22,12,20,18,24,18,17,20,16,19,23,24,24,23,24,19,20,22,16,24,20,16,20,22,23,15,21,16,23,17,18,16,24,21,22,26,22,12,20,9,14,20,16,20,21,24,18,21,16,26,28,147,23,19,22,28,27,18,22,18,8,24,18,22,23,22,18,22,20,23,24,20,8,20,23,22,12,18,26,25,16,16,16,23,29,24,22,18,14,20,22,22,24,18,24,24,27,24,18,33,30,36,25,16,18,32,30,24,18,18,34
